  4 Non Blondes -  Whats Up?
  A Touch Of Class -  Around The World (La La La La La;Radio Version)
  A-Ha -  Take On Me
  A-Ha -  Take On Me
  A-Ha -  Take On Me
  A-Ha -  Take On Me
  A-Ha -  The Sun Always Shines On Tv
  A.R. Rahman & The Pussycat Dolls Feat. Nicole Scherzinger -  Jai Ho! (You Are My Destiny)
  A.R. Rahman & The Pussycat Dolls Feat. Nicole Scherzinger -  Jai Ho! (You Are My Destiny)
  A.R. Rahman & The Pussycat Dolls Feat. Nicole Scherzinger -  Jai Ho! (You Are My Destiny)
  A.R. Rahman & The Pussycat Dolls Feat. Nicole Scherzinger -  Jai Ho! (You Are My Destiny)
  A.R. Rahman & The Pussycat Dolls Feat. Nicole Scherzinger -  Jai Ho! (You Are My Destiny)
  ABBA -  Angel Eyes
  ABBA -  Cassandra
  ABBA -  Dancing Queen
  ABBA -  Dancing Queen
  ABBA -  Dancing Queen
  ABBA -  Fernando
  ABBA -  Fernando
  ABBA -  Fernando
  ABBA -  Gimme! Gimme! Gimme! (A Man After Midnight)
  ABBA -  Gimme! Gimme! Gimme! (A Man After Midnight)
  ABBA -  Gimme! Gimme! Gimme! (A Man After Midnight)
  ABBA -  Head Over Heels
  ABBA -  Head Over Heels
  ABBA -  I Have A Dream
  ABBA -  Lay All Your Love On Me
  ABBA -  Lay All Your Love On Me
  ABBA -  Mamma Mia
  ABBA -  Mamma Mia
  ABBA -  Our Last Summer
  ABBA -  S.O.S.
  ABBA -  S.O.S.
  ABBA -  S.O.S.
  ABBA -  Super Trouper
  ABBA -  Super Trouper
  ABBA -  Super Trouper
  ABBA -  Super Trouper
  ABBA -  Super Trouper
  ABBA -  Take A Chance On Me
  ABBA -  Take A Chance On Me
  ABBA -  The Winner Takes It All
  ABBA -  The Winner Takes It All
  Ace Of Base -  Beautiful Life
  Ace Of Base -  Dont Turn Around
  Ace Of Base -  Happy Nation
  Ace Of Base -  Happy Nation
  Ace Of Base -  Happy Nation
  Ace Of Base -  Travel To Romantis
  Adam Lambert -  Mad World
  Adam Lambert -  Whataya Want From Me
  Adam Lambert -  Whataya Want From Me
  Adam Lambert -  Whataya Want From Me
  Adam Lambert -  Whataya Want From Me
  Adele -  Hello
  Adele -  Hello
  Adele -  Send My Love (To Your New Lover)
  Adele -  Send My Love (To Your New Lover)
  Adele -  Set Fire To The Rain
  Adele -  Set Fire To The Rain
  Adele -  Set Fire To The Rain
  Adele -  Set Fire To The Rain
  Adele -  Someone Like You
  Adele -  Someone Like You
  Aerosmith -  Crazy
  Aerosmith -  Crazy
  Aerosmith -  Cryin
  Aerosmith -  Cryin
  Aerosmith -  I Dont Want To Miss A Thing
  Aerosmith -  I Dont Want To Miss A Thing
  Afric Simone -  Hafanana
  Afric Simone -  Hafanana
  Afric Simone -  Hafanana
  Afric Simone -  Hafanana
  Afric Simone -  Hafanana
  Aigars Grāvers -  Dūdieviņš
  Aigars Grāvers -  Dūdieviņš
  Aigars Grāvers -  Dūdieviņš
  Ainars Mielavs & Imants Kalnins -  Es Redzēju Sapnī
  Ainars Mielavs & Imants Kalnins -  Es Redzēju Sapnī
  Ainars Mielavs -  Aplis
  Ainars Mielavs -  Atpogā manu kreklu
  Ainars Mielavs -  Atpogā manu kreklu
