  4 Non Blondes -  Whats Up?
  A Touch Of Class -  Around The World (La La La La La;Radio Version)
  A-Ha -  Take On Me
  A-Ha -  The Sun Always Shines On Tv
  A.R. Rahman & The Pussycat Dolls Feat. Nicole Scherzinger -  Jai Ho! (You Are My Destiny)
  ABBA -  Angel Eyes
  ABBA -  Cassandra
  ABBA -  Dancing Queen
  ABBA -  Fernando
  ABBA -  Gimme! Gimme! Gimme! (A Man After Midnight)
  ABBA -  Head Over Heels
  ABBA -  I Have A Dream
  ABBA -  Lay All Your Love On Me
  ABBA -  Mamma Mia
  ABBA -  Our Last Summer
  ABBA -  S.O.S.
  ABBA -  Super Trouper
  ABBA -  Take A Chance On Me
  ABBA -  The Winner Takes It All
  Ace Of Base -  Beautiful Life
  Ace Of Base -  Dont Turn Around
  Ace Of Base -  Happy Nation
  Ace Of Base -  Travel To Romantis
  Adam Lambert -  Mad World
  Adam Lambert -  Whataya Want From Me
  Adele -  Hello
  Adele -  Send My Love (To Your New Lover)
  Adele -  Set Fire To The Rain
  Adele -  Someone Like You
  Aerosmith -  Crazy
  Aerosmith -  Cryin
  Aerosmith -  I Dont Want To Miss A Thing
  Afric Simone -  Hafanana
  Aigars Grāvers -  Dūdieviņš
  Ainars Mielavs & Imants Kalnins -  Es Redzēju Sapnī
  Ainars Mielavs -  Aplis
  Ainars Mielavs -  Atpogā manu kreklu
  Ainars Mielavs -  Elpo
  Ainars Mielavs -  I Love You
  Ainars Mielavs -  Mēs Mīlam Pieprasīt
  Ainars Mielavs -  Tu Saviļņoji Mani
  Ainars Virga -  Ja Tu Mīli
  Aisha & Lauris Reiniks -  Pasakā
  Aisha & Opus Pro -  Tu Un Es
  Al Bano & Romina Power -  Angeli
  Al Bano & Romina Power -  Ci Sarà
  Al Bano & Romina Power -  Felicità
  Al Bano & Romina Power -  Libertà
  Alan Walker -  Faded
  Alexandra Stan -  Mr. Saxobeat
  Alizée -  Moi. Lolita (Single Version)
  All-4-One -  I Swear
  Alphaville -  Big In Japan
  Alphaville -  Dance With Me
  Alphaville -  Dance With Me (Empire Remix)
  Alphaville -  Forever Young
  Alphaville -  Sounds Like A Melody (Special Long Version)
  Amberlife -  My Lovers Gone
  Amy MacDonald -  This Is The Life
  Anastacia -  Im Outta Love
  Ann Lee -  2 Times
  Anna Naklab Feat. Alle Farben & YOUNOTUS -  Supergirl
  Annie Lennox -  No More I Love You\s
  Antonio Banderas & Los Lobos -  Cancion Del Mariachi
  Antra Stafecka & Otra Puse -  Uzzīmē Mani (Boyza I I Version)
  Aqua -  Turn Back Time
  Arabesque -  Midnight Dancer
  Arash Feat. Helena -  Broken Angel
  Arath Rios -  Luz Verde (Radio Edit)
  Arcanta -  Into Thine Arms
  Ariana Grande -  One Last Time
  Army Of Lovers -  Obsession
  Artis Dvarionas -  Laika Dziesmiņa
  Astronout -  Daļa Rīgas
  Astronout Feat. Sudden Lights -  Haosā
  Aswad -  Shine (Beatmasters 7 Mix)
  Atomic Kitten -  The Tide Is High (Get The Feeling)
  Atomic Kitten -  Whole Again
  Autobus Debesīs -  Div Upītes
  Autobuss Debesīs -  Ar Straumēm Uz Jūru
  Autobuss Debesīs -  Ir Tikai Tveice
  Autobuss Debesīs -  Lilioma Dziesma
